Papers
paper id;first name;last name;institution;track;title
194;Joshua;Rockman;The Pennsylvania State University;4;OPERATION CROSSROADS, AN HISTORICAL REVIEW INTO THE WORLDS FIRST CASE OF WIDESREAD RADIOACTIVE CONTAMINATION
196;Mark;Reed;MIT;20;Pin-Level Reconstruction of Various Neutronic Quantities in Fast Reactors: Enhanced Physical Insight and Visualization Tools
197;Christopher;McGahee;Georgia Institute of Technology;4;RADIATION DETECTION PLATE TO BE USED AT SECURITY CHECKPOINTS IN ASSOCIATION WITH NEW ZNO DETECTORS
398;Jianguo;Zhong;Rensselaer Polytechnic Institute;1;ANALYSIS OF HEAT TRANSFER IN SUPERCRITICAL WATER REACTOR CORE
200;Will;Boyd;MIT;12;Challenges and Opportunities for Massively Parallel Neutron Transport Calculations on GPUs
201;Kelly;McClure;The Pennsylvania State University;5;American Nuclear Society and THON
202;Lindsey;Gilman;MIT;22;ADVANCEMENTS ON WALL BOILING MODELING IN CFD: LEVERAGING NEW UNDERSTANDING FROM MIT FLOW BOILING FACILITY
212;Patricia;Schuster;UC Berkeley;4;Investigation of Anisotropic Response in Organic Crystal Scintillators for Neutron Detection
203;Rebecca;Rose Romatoski;MIT;22;NATURAL CIRCULATION LIQUID-SALT LOOP CONCEPTUAL DESIGN FOR THE MIT REACTOR
204;Mark;Walker;Princeton University;17;An Analysis of Technical and Administrative Issues with Radiation Portal Monitors at Seaports
205;Nicholas;Wilson;Purdue University;4;Development of a Spherical Acoustically Tensioned Metastable Fluid Detector for Ascertaining 4pi Neutron Directionality
206;Jaspreet;Rehal;University of Illinois at Urbana-Champaign;4;SEE RADS Design Brief
208;Samuel;Brown;University of Utah;3;Low-Activation Reinforced Concrete for Reducing the Volume of Low-Level Radioactive Waste in the U.S.A.
210;Molly;McCulloch;Oregon State University ;20;DESIGN OPTIMIZATION OF THE ADVANCED TEST REACTOR LOW ENRICHMENT FUEL FOR CONVERSION
211;Chad;O'Hagan;Texas A&M University;5;Sanmen Nuclear Power Plant
214;Daniel;Curtis;Massachusetts Institute of Technology;16;NUCLEAR AIR-BRAYTON COMBINED CYCLE FOR INCREASED NUCLEAR PLANT REVENUE
310;Benjamin;Reinke;The Ohio State University;11;TEMPERATURE CONTROLLED CRYOSTAT FOR ELECTRICAL AND OPTICAL REACTOR IRRADIATION EXPERIMENTS
215;Sungmin;Shin;Korea Advanced Institute of Science and Technolog;15;MONITORING METHOD DEVELOPMENT FOR SAFETY COMPONENT ON STANDBY STATE
377;Christopher;Herman;North Carolina State University;20;REACTIVITY DEFECT BENCHMARKING OF THE OPENMC MONTE CARLO TRANSPORT CODE
216;Chris;Dances;University of Utah;12;University of Utah TRIGA Virtual Reactor Simulator in Python and Qt
217;Valentina;Avincola;KIT ;11;Oxidation in steam and quenching of silicon carbide as cladding for nuclear power plants
220;William;Gurecky;The University of Texas at Austin;22;A Jet Modeling Framework Relevant  to LOCA Analysis
221;Brian;McDermott;Rensselaer Polytechnic Institute;14;A DETECTOR ARRAY FOR MEASURING NEUTRON CAPTURE CROSS SECTIONS IN THE KEV REGION
394;Alex;Salazar;Masaachusetts Institute of Technology;7;EFFECT OF TEMPERATURE ON PERMEABILITY OF CEMENT SEALANT FOR DEEP BOREHOLE REPOSITORIES
223;Ross;Barnowski;University of California - Berkeley;4;Real-time Gamma Ray Imaging with Planar HPGe DSS Detectors
224;Lukas;Schmidt;ETH Zürich;22;Investigations of Single Phase Turbulent Mixing with Stable Density Stratification
225;Joshua;D. Graves;Oregon State University;22;Top-Down Scaling Analysis of the Integral Reactor Vessel Test Facility
227;Grace;Fischetti;North Carolina State University;7;Design of a Continuous Pyrochemical Process for Actinide Recovery 
228;Ryan;M. Bergmann;UC Berkeley;12;GPU RAY TRACING FOR MONTE CARLO NEUTRON TRANSPORT USING NVIDIA OPTIX
230;Matthew;Wargon;The Pennsylvania State University;20;Modeling Of Depletion In Molten Salt Reactors
378;Carl;Haugen;Massachusetts Institute of Technology;7;A Deterministic Method for Core Loading Analysis in LWRs
233;Matthew;Horkley;Idaho State University;13;NUCLEAR PROLIFERATION RESISTANT AQUEOUS REPROCESSING METHODS
234;Diego;Garcia;University of Florida;10;PERFORMANCE ANALYSIS AND FABRICATION OF PARES BASED NUCLEAR BATTERY FOR MEMS APPLICATIONS
235;Justin;Knowles;Purdue University;11;Defect Diffusion Simulation Through Zirconium Lattice Structure
237;Diego;Garcia;University of Florida;5;
238;Chris;Antweiler;United States Military Academy;13;Nuclear Forensics: A Way Ahead for the U.S. and the International Community
397;Athena;;UNLV;4;INVESTIGATION OF STORAGE-PHOSPHOR AUTORADIOGRAPHY FOR THE RAPID QUANTITATIVE SCREENING OF AIR FILTERS FOR EMERGENCY RESPONSE PURPOSES
240;Jesse;;Idaho State University;11;Zircaloy Abstract
245;Ji-jyung;Sim;Han-yang University, Republic of Korea;11;The study on the fission gas release models of metallic fast reactor fuel
242;Bo;Gyung Kim;Korea Advanced Institute of Science and Technology (KAIST);9;CONCEPTUAL DESIGN SUGGESTION OF OPERATOR SUPPORT AND AUTOMATED SYSTEM FOR REDUCING HUMAN ERROR IN NUCLEAR POWER PLANTS
243;John;Stempien;MIT;11;Coolant Chemistry and Materials Compatibility in the Fluoride Salt-Cooled High Temperature Reactor (FHR)
246;Ruirui;Liu;Oregon State University;18;Study on sampling and measurement of 210Po in the waste stream of coal-fired power plant
248;Alexis;Kaplan;University of Michigan;13;NEUTRON DETECTION THRESHOLD AND EFFICIENCY TRADEOFF IN A NONDESTRUCTIVE SPENT FUEL ASSAY INSTRUMENT
249;Aaron;Stout;United States Military Academy;18;Design of a Methodology to Calculate Radiation Protection Factors for Army Equipment Using MCNP
250;Jedediah;Styron;University of New Mexico;4;Beryllium/Scintillator Layer Detector
