Papers
paper id;first name;last name;institution;track;title
345;lucas;boron-brenner;University of Nevada Las Vegas;23;Absorption study of titanium and scandium on Eichrom Ln resin using different acid concentrations
346;Sam;Shaner;MIT;20;Transient CMFD-accelerated MOC via IQS with Fully-Implicit Course-Time Stepping
349;Christopher;Pannier;Texas A&M University;20;"POINT REACTOR KINETICS MODEL OF A REACTIVITY OSCILLATOR IN THE TEXAS A&amp;M AGN-201M RESEARCH REACTOR"
350;Matthew;J. Riblett;Rensselaer Polytechnic Institute;12;USE OF HARDWARE ACCELERATORS FOR MONTE CARLO-BASED RADIATION TRANSPORT:  PRELIMINARY STRATEGIES FOR TACKLING NEUTRON RADIATION
352;Pablo;Vaquer;University of Florida ;1;A LOW TEMPERATURE GAS REACTOR WITH VASIMR THRUSTERS FOR NEAR-TERM INTERPLANTARY TRAVEL
353;Philip;Belsterling;Oregon State University;11;Reactor Clad Types and Failure Mechanisms
355;Lindsay;O'Brien;MIT;11;Corrosion Fatigue of Austenitic Stainless Steels
354;Jedediah;Styron;University of New Mexico;16;Thorium Fuel with Increased Burn-up
359;David;Saucier;Sandia National Laboratories/ University of New Mexico;22;Small Modular Reactor Design: Designing a Molten Salt Reactor with a Thorium Fuel Cycle
376;Matthew;Zimmer;Rensselaer Polytechnic Institute;22;An Analysis of Multidimensional Models of Turbulent Flow in Nuclear Reactors
388;Matthew;Zimmer;Rensselaer Polytechnic Institute;22;An Analysis of Multidimensional Models of Turbulent Flow in Nuclear Reactors
396;Sarah;Don;MIT;22;"""Surface Analysis of Materials Test Reactor Cladding"""
402;Antonio;Tahhan;Idaho State University;6;The Hydrogen Economy
