paper id;First Name;Last Name;Institution;Affiliation;Track;Podium?;title;Follow Up
176;Uiju;Jeong;Hanyang University;Hanyang;22;0;CFD Analysis of Liquid Sodium Flow in the Vicinity of Permanent Magnet Probe Flow Meter Using FLUENT;
177;Rachel;Shapiro;Pennsylvania State University;PSU;20;1;Optimization of Boron Distribution in ORNL High Flux Isotope Reactor LEU Core;
178;William;Riddle;North Carolina State University;NCSU;7;0;Fuel Assembly Design for Improved Transuranics Recylcing in Light Water Reactors;
179;Robert;Aldridge;Oregon State University;ORST;22;1;Development of RELAP5-3D Models of the MHTGR and HTTF To Be Used In Scaling Studies of the HTTF;
180;Bren;Phillips;Massachusetts Institute of Technology;MIT;22;1;Nucleation Site Density, Bubble Departure Diameter, Wait Time and Local Temperature Distribution in Subcooled Flow Boiling of Water at Atmospheric Pressure;Title
181;Keri;Campbell;University of Nevada - Las Vegas;UNLV;23;1;Laser Ablation of Actinide Oxides;
182;Amanda;Lang;University of Wisconsin - Madison;WISC;20;1;The Use of Freeze-Cast Scaffolds in Nuclear Fuel Design;
184;Mouza;Al Hebsi;Khalifa University;Khalifa;22;1;Numerical Investigation on the Dissolution of a Light Gas Stratification in a Safety Containment Model;
185;David;Amos;University of Houston - Downtown;UHD;11;0;A Quantum Mechanical Study of Ce(IV)-tetrakis(chatecolato) as a Model for Pu(IV)-tetrakis(chatecholato);
187;Dan;Kotlyar;Ben Gurion University;BGU;20;1;Comparison of Monte Carlo-Burnup-Thermal Hydraulic Coupling Schemes;
189;Nadine;Gatto;Pennsylvania State University;PSU;8;0;Design and Objectives of the International Thermonuclear Experimental Reactor (ITER);
192;Siwan;Noh;Hanyang University;Hanyang;18;1;Development of In Vitro Internal Dosimetry Methodology for Short-Lived Radioisotopes;
193;Amal;Hraiz;Khalifa University;Khalifa;20;1;3-D Full Core Calculations of Westinghouse AP1000 Using WIMS/PARCS/SNAP Code System;
194;Joshua;Rockman;Pennsylvania State University;PSU;4;1;Operation Crossroads: An Historical Review into the World's First Case of Widespread Radioactive Contamination;
195;Nam;Phan;Purdue University;Purdue;22;0;Evaluating a Riemann Problem in TFIT as Vertical Two-Phase Bubbly Flow;
196;Mark;Reed;Massachusetts Institute of Technology;MIT;20;1;Pin-Level Reconstruction of Various Neutronic Quantities in Fast Reactors: Enhanced Physical Insight and Visualization Tools;
197;Christopher;McGahee;Georgia Institute of Technology;GATECH;4;1;Radiation Detection Plate To Be Used at Security Checkpoints in Association with New ZNO Detectors;
200;Will;Boyd;Massachusetts Institute of Technology;MIT;12;1;Challenges and Opportunities for Massively Parallel Neutron Transport Calculations on GPUs;
201;Kelly;McClure;Pennsylvania State University;PSU;5;1;The American Nuclear Society and THON;
202;Lindsey;Gilman;Massachusetts Institute of Technology;MIT;22;1;Advancements on Wall Boiling Modeling in CFD: Leveraging New Understanding from MIT Flow Boiling Facility;
203;Rebecca R.;Romatoski;Massachusetts Institute of Technology;MIT;22;1;Natural Circulation Liquid-Salt Loop Conceptual Design for the MIT Reactor;
204;Mark E.;Walker;Princeton University;Princeton;17;1;An Analysis of Technical and Administrative Issues with Radiation Portal Monitors at Seaports;
205;Nicholas;Wilson;Purdue University;Purdue;4;1;Development of a Spherical Acoustically Tensioned Metastable Fluid Detector for Ascertaining 4pi Neutron Directionality;
206;Jaspreet;Rehal;University of Illinois at Urbana-Champaign;Illinois;4;1;SEE RADS Platform: Social, Every Day, and Emergency Radiation Detection System;Title
208;Samuel;Brown;University of Utah;Utah;3;1;Low-Activation Reinforced Concrete for Reducing the Volume of Low-Level Radioactive Waste in the U.S.A.;
209;Chad;O'Hagan;Texas A&M University;TAMU;16;1;Spent Fuel Pool Graphical User Interface Application For Verifying Fuel Assembly Placement;
210;Molly;McCulloch;Oregon State University ;ORST;20;1;Design of Optimization of the Advanced Test Reactor Low Enrichment Fuel for Conversion;
211;Chad;O'Hagan;Texas A&M University;TAMU;5;1;Sanmen Nuclear Power Plant;
212;Patricia;Schuster;University of California - Berkeley;Berkeley;4;1;Investigation of Anisotropic Response in Organic Crystal Scintillators for Neutron Detection;
213;Andrew J.;Swift;University of Nevada - Las Vegas;UNLV;23;0;Evaluation and Preparation of Uranium Alloys Based on Fuel Burnup;
214;Daniel;Curtis;Massachusetts Institute of Technology;MIT;16;1;Nuclear Air-Brayton Combined Cycle for Increased Nuclear Plant Revenue;
215;Sungmin;Shin;Korea Advanced Institute of Science and Technology;KAIST;15;1;Monitoring Method Development for Safety Component on Standby State;
216;Chris;Dances;University of Utah;Utah;12;1;University of Utah TRIGA Virtual Reactor Simulator in Python and Qt;
217;Valentina;Avincola;Karlsruhe Institute of Technology;KIT;11;1;Oxidation in Steam and Quenching of Silicon Carbide as Cladding for Nuclear Power Plants;
218;Elton;Chen;Georgia Institute of Technology ;GATECH;11;0;Comparison of Uranium Properties using EAM and MEAM Potentials;
219;Nicholas;Wozniak;University of Nevada - Las Vegas;UNLV;23;0;Photoreduction Synthesis of U (IV) Organophosphate Nanoparticles from Uranyl Perchlorate;
220;William;Gurecky;University of Texas at Austin;Texas;22;1;A Jet Modeling Framework Relevant to LOCA Analysis;
